00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@39a892f5
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@686737aa
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@686737aa
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration byte -> org.hibernate.type.BasicTypeReference@60a2b42f
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration byte -> org.hibernate.type.BasicTypeReference@60a2b42f
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@60a2b42f
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration binary -> org.hibernate.type.BasicTypeReference@5a19f0d2
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@5a19f0d2
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration [B -> org.hibernate.type.BasicTypeReference@5a19f0d2
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@2f6f2472
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@2f6f2472
00:03:13.964 [DEBUG] [restartedMain] [o.hibernate.type.BasicTypeRegistry] - Adding type registration image -> org.hibernate.type.BasicTypeReference@5b704de0
